OrderID,CustomerID,PaymentID,OrderDate,ShipperID,ShipDate,DeliveryDate,Total_order_amount
7655584,57177,4,17 May 2020,2,25 May 2020,29 May 2020,26291.05
7655585,57137,4,18 May 2020,7,24 May 2020,05 June 2020,9796.1
7655586,57169,4,18 May 2020,5,25 May 2020,04 June 2020,7654
7655587,57147,4,18 May 2020,5,21 May 2020,05 June 2020,4102
7655588,57091,4,19 May 2020,2,21 May 2020,24 May 2020,33106
7655589,57103,4,19 May 2020,7,21 May 2020,01 June 2020,20807
7655590,57094,3,19 May 2020,3,20 May 2020,23 May 2020,17587.945
7655591,57125,4,20 May 2020,8,30 May 2020,11 June 2020,3924
7655592,57152,4,22 May 2020,5,24 May 2020,06 June 2020,12589
7655593,57091,3,22 May 2020,7,31 May 2020,15 June 2020,4342.65
7655594,57137,4,23 May 2020,4,26 May 2020,13 June 2020,2647
7655595,57176,2,23 May 2020,2,25 May 2020,29 May 2020,23272.5
7655596,57158,4,24 May 2020,7,03 June 2020,12 June 2020,9258.2
7655597,57172,4,25 May 2020,1,26 May 2020,15 June 2020,18275.75
7655598,57145,4,26 May 2020,6,28 May 2020,11 June 2020,105
7655599,57123,5,26 May 2020,2,04 June 2020,13 June 2020,35797.47
7655600,57110,6,27 May 2020,6,01 June 2020,18 June 2020,6111.49
7655601,57141,2,28 May 2020,1,04 June 2020,19 June 2020,5460
7655602,57097,4,28 May 2020,3,03 June 2020,21 June 2020,36436.15
7655603,57132,5,29 May 2020,1,30 May 2020,07 June 2020,13845
7655604,57106,2,30 May 2020,2,06 June 2020,14 June 2020,7412
7655605,57103,4,01 June 2020,1,11 June 2020,19 June 2020,20090.25
7655606,57101,4,01 June 2020,4,02 June 2020,18 June 2020,270
7655607,57103,4,01 June 2020,6,07 June 2020,13 June 2020,7032.114
7655608,57153,4,02 June 2020,3,06 June 2020,24 June 2020,4041.9
7655609,57153,3,03 June 2020,7,12 June 2020,26 June 2020,21475
7655610,57164,4,03 June 2020,7,13 June 2020,28 June 2020,182458.764
7655611,57119,3,03 June 2020,5,06 June 2020,23 June 2020,1134
7655612,57170,5,04 June 2020,7,06 June 2020,07 June 2020,16685
7655613,57110,6,04 June 2020,7,14 June 2020,29 June 2020,26365.24
7655614,57090,3,04 June 2020,5,12 June 2020,19 June 2020,11292
7655615,57147,5,04 June 2020,6,12 June 2020,14 June 2020,3246.45
7655616,57105,5,04 June 2020,3,11 June 2020,26 June 2020,10414.1
7655617,57089,3,05 June 2020,6,06 June 2020,20 June 2020,12710
7655618,57139,3,05 June 2020,6,07 June 2020,26 June 2020,3580
7655619,57193,6,06 June 2020,6,11 June 2020,15 June 2020,20192.12
7655620,57110,4,06 June 2020,2,07 June 2020,18 June 2020,40752.72
7655621,57143,6,07 June 2020,3,09 June 2020,27 June 2020,16164
7655622,57125,4,07 June 2020,8,12 June 2020,20 June 2020,10497.375
7655623,57187,4,09 June 2020,3,10 June 2020,11 June 2020,10086.48
7655624,57171,4,09 June 2020,4,19 June 2020,06 July 2020,17987.85
7655625,57186,3,09 June 2020,7,13 June 2020,16 June 2020,28015
7655626,57081,4,10 June 2020,6,18 June 2020,21 June 2020,2071.818
7655627,57204,1,10 June 2020,3,13 June 2020,28 June 2020,33204.564
7655628,57167,4,10 June 2020,6,15 June 2020,25 June 2020,12953.313
7655629,57166,4,11 June 2020,3,16 June 2020,18 June 2020,10710.72
7655630,57181,4,12 June 2020,2,16 June 2020,03 July 2020,3826.125
7655631,57088,4,13 June 2020,5,17 June 2020,21 June 2020,7411.5
7655632,57167,5,13 June 2020,3,20 June 2020,04 July 2020,1043
7655633,57174,4,14 June 2020,1,20 June 2020,08 July 2020,18409.05
7655634,57107,4,14 June 2020,8,17 June 2020,01 July 2020,10989.594
7655635,57205,4,15 June 2020,6,18 June 2020,07 July 2020,25554.15
7655636,57151,5,16 June 2020,8,18 June 2020,24 June 2020,29117
7655637,57163,4,16 June 2020,4,23 June 2020,11 July 2020,14561.325
7655638,57205,4,16 June 2020,8,20 June 2020,05 July 2020,4600.98
7655639,57152,4,16 June 2020,6,21 June 2020,27 June 2020,5139.18
7655640,57142,3,17 June 2020,3,21 June 2020,22 June 2020,5949
7655641,57181,4,19 June 2020,8,20 June 2020,23 June 2020,4704.3
7655642,57157,4,19 June 2020,3,24 June 2020,25 June 2020,2809.8
7655643,57126,4,19 June 2020,2,21 June 2020,06 July 2020,22687.38
7655644,57106,4,20 June 2020,2,23 June 2020,29 June 2020,26813.7
7655645,57125,2,20 June 2020,8,28 June 2020,14 July 2020,8200.13
7655646,57193,4,21 June 2020,7,22 June 2020,26 June 2020,10660.5
7655647,57210,4,21 June 2020,8,22 June 2020,11 July 2020,67934.943
7655648,57120,6,22 June 2020,6,24 June 2020,27 June 2020,12826
7655649,57099,4,22 June 2020,8,23 June 2020,30 June 2020,36308.583
7655650,57175,4,22 June 2020,3,29 June 2020,10 July 2020,17781.525
7655651,57131,4,24 June 2020,5,02 July 2020,21 July 2020,6800.85
7655652,57200,5,25 June 2020,8,02 July 2020,07 July 2020,22589.5
7655653,57127,5,25 June 2020,1,04 July 2020,18 July 2020,16662.75
7655654,57209,3,25 June 2020,6,29 June 2020,17 July 2020,25129.4
7655655,57141,4,26 June 2020,2,03 July 2020,06 July 2020,9857.34
7655656,57173,3,26 June 2020,7,27 June 2020,10 July 2020,9277
7655657,57165,3,27 June 2020,5,01 July 2020,04 July 2020,73374.5
7655658,57119,4,27 June 2020,8,03 July 2020,14 July 2020,7096.14
7655659,57204,6,27 June 2020,6,29 June 2020,13 July 2020,14576.75
7655660,57205,4,28 June 2020,5,02 July 2020,10 July 2020,29206.89
7655661,57090,4,29 June 2020,6,05 July 2020,10 July 2020,14299.245
7655662,57161,6,29 June 2020,2,01 July 2020,02 July 2020,17661.5
7655663,57158,4,30 June 2020,7,06 July 2020,18 July 2020,2244.06
7655664,57214,5,30 June 2020,5,07 July 2020,23 July 2020,43791.73
7655665,57168,4,01 July 2020,4,04 July 2020,20 July 2020,26220.915
7655666,57088,1,01 July 2020,1,06 July 2020,19 July 2020,1404
7655667,57115,3,01 July 2020,5,11 July 2020,27 July 2020,758
7655668,57087,4,02 July 2020,7,05 July 2020,20 July 2020,7210.62
7655669,57156,4,02 July 2020,6,06 July 2020,16 July 2020,29371.968
7655670,57111,4,03 July 2020,7,07 July 2020,20 July 2020,26682.39
7655671,57199,4,04 July 2020,3,09 July 2020,11 July 2020,8629.056
7655672,57172,3,05 July 2020,8,11 July 2020,25 July 2020,40797.15
7655673,57117,6,05 July 2020,7,07 July 2020,26 July 2020,3841
7655674,57175,6,05 July 2020,3,09 July 2020,24 July 2020,9228.75
7655675,57199,4,06 July 2020,1,16 July 2020,04 August 2020,4008.33
7655676,57178,3,07 July 2020,1,17 July 2020,28 July 2020,2912
7655677,57125,6,08 July 2020,6,16 July 2020,29 July 2020,33379.79
7655678,57205,6,08 July 2020,4,09 July 2020,20 July 2020,26728.15
7655679,57198,4,08 July 2020,7,12 July 2020,26 July 2020,10976.85
7655680,57096,3,08 July 2020,8,09 July 2020,27 July 2020,4164.32
7655681,57098,4,09 July 2020,4,19 July 2020,06 August 2020,774.9
7655682,57145,3,09 July 2020,5,10 July 2020,11 July 2020,25777.8
7655683,57152,4,09 July 2020,3,16 July 2020,21 July 2020,5190.3
7655684,57191,6,10 July 2020,4,11 July 2020,23 July 2020,27378
7655685,57088,4,10 July 2020,4,11 July 2020,28 July 2020,11019.78
7655686,57212,5,11 July 2020,2,13 July 2020,23 July 2020,6038.55
7655687,57213,3,11 July 2020,1,14 July 2020,25 July 2020,16994.25
7655688,57101,4,12 July 2020,1,15 July 2020,20 July 2020,3305.7
7655689,57082,3,12 July 2020,1,15 July 2020,01 August 2020,17870.3
7655690,57166,4,13 July 2020,5,15 July 2020,17 July 2020,2281.14
7655691,57186,4,14 July 2020,1,20 July 2020,22 July 2020,14528.7
7655692,57179,3,14 July 2020,2,16 July 2020,23 July 2020,31772.7
7655693,57092,4,14 July 2020,5,20 July 2020,08 August 2020,7812
7655694,57194,4,15 July 2020,3,18 July 2020,02 August 2020,101971.98
7655695,57141,4,15 July 2020,6,25 July 2020,30 July 2020,26727.75
7655696,57093,6,15 July 2020,7,24 July 2020,03 August 2020,28715.5
7655697,57185,4,17 July 2020,1,22 July 2020,02 August 2020,18429.57
7655698,57111,6,18 July 2020,3,26 July 2020,15 August 2020,27693.05
7655699,57210,5,19 July 2020,8,22 July 2020,24 July 2020,3557
7655700,57191,4,19 July 2020,7,28 July 2020,07 August 2020,6101.1
7655701,57111,4,19 July 2020,1,21 July 2020,08 August 2020,41905.89
7655702,57220,3,19 July 2020,5,22 July 2020,10 August 2020,47456.26
7655703,57176,6,19 July 2020,7,23 July 2020,02 August 2020,617.5
7655704,57091,4,20 July 2020,6,24 July 2020,05 August 2020,2001.6
7655705,57204,4,20 July 2020,7,30 July 2020,17 August 2020,8218.98
7655706,57210,2,21 July 2020,1,25 July 2020,26 July 2020,4511
7655707,57129,5,22 July 2020,1,24 July 2020,03 August 2020,25412.46
7655708,57141,3,23 July 2020,8,26 July 2020,27 July 2020,14633.55
7655709,57135,4,23 July 2020,2,26 July 2020,08 August 2020,6408
7655710,57098,4,23 July 2020,3,31 July 2020,12 August 2020,10139.58
7655711,57158,5,23 July 2020,3,29 July 2020,01 August 2020,7453
7655712,57096,3,24 July 2020,8,30 July 2020,01 August 2020,6320
7655713,57110,4,25 July 2020,2,26 July 2020,11 August 2020,8049.6
7655714,57096,4,25 July 2020,6,27 July 2020,09 August 2020,3772.215
7655715,57192,4,26 July 2020,5,02 August 2020,05 August 2020,53675.1
7655716,57108,3,26 July 2020,7,28 July 2020,15 August 2020,17131.76
7655717,57210,6,26 July 2020,1,29 July 2020,08 August 2020,7192.75
7655718,57141,3,27 July 2020,6,29 July 2020,05 August 2020,6641.4
7655719,57221,4,27 July 2020,3,04 August 2020,14 August 2020,10767.735
7655720,57158,4,27 July 2020,5,03 August 2020,15 August 2020,6376.59
7655721,57122,5,27 July 2020,8,31 July 2020,18 August 2020,18988.16
7655722,57087,4,28 July 2020,8,01 August 2020,04 August 2020,4702.5
7655723,57101,5,29 July 2020,1,03 August 2020,20 August 2020,1800
7655724,57218,4,29 July 2020,1,31 July 2020,04 August 2020,15169.5
7655725,57081,3,29 July 2020,3,08 August 2020,09 August 2020,6266.7
7655726,57171,3,29 July 2020,4,31 July 2020,14 August 2020,8426.5
7655727,57206,4,29 July 2020,8,31 July 2020,17 August 2020,25255.989
7655728,57092,5,30 July 2020,6,31 July 2020,03 August 2020,15456
7655729,57199,6,31 July 2020,6,03 August 2020,14 August 2020,210
7655730,57146,5,31 July 2020,1,01 August 2020,10 August 2020,4169
7655731,57120,4,01 August 2020,6,06 August 2020,11 August 2020,9886.5
7655732,57214,5,01 August 2020,2,05 August 2020,12 August 2020,13536.77
7655733,57132,4,01 August 2020,7,07 August 2020,23 August 2020,32207.175
7655734,57101,4,02 August 2020,4,05 August 2020,09 August 2020,50824.8
7655735,57146,4,02 August 2020,6,11 August 2020,15 August 2020,1656
7655736,57141,5,02 August 2020,4,11 August 2020,19 August 2020,9409
7655737,57108,6,03 August 2020,4,07 August 2020,10 August 2020,5465
7655738,57096,4,04 August 2020,3,14 August 2020,24 August 2020,8762.085
7655739,57172,3,05 August 2020,1,14 August 2020,25 August 2020,34705.2
7655740,57155,5,05 August 2020,5,06 August 2020,24 August 2020,3316.76
7655741,57111,3,05 August 2020,6,06 August 2020,17 August 2020,3298.37
7655742,57141,3,06 August 2020,1,14 August 2020,20 August 2020,5777
7655743,57187,3,06 August 2020,8,11 August 2020,17 August 2020,4621
7655744,57190,4,06 August 2020,5,12 August 2020,23 August 2020,14727.6
7655745,57182,3,08 August 2020,1,09 August 2020,27 August 2020,1586.9
7655746,57137,5,09 August 2020,7,16 August 2020,30 August 2020,3151.12
7655747,57155,4,09 August 2020,2,15 August 2020,16 August 2020,853.2
7655748,57086,6,09 August 2020,4,14 August 2020,19 August 2020,37827.6
7655749,57091,6,10 August 2020,6,14 August 2020,03 September 2020,25919
7655750,57089,4,11 August 2020,8,15 August 2020,27 August 2020,1339.2
7655751,57206,3,11 August 2020,5,13 August 2020,24 August 2020,20674
7655752,57216,6,11 August 2020,4,17 August 2020,18 August 2020,58800
7655753,57142,3,12 August 2020,2,14 August 2020,31 August 2020,3391.5
7655754,57193,3,13 August 2020,4,22 August 2020,01 September 2020,7500.5
7655755,57145,1,13 August 2020,6,17 August 2020,18 August 2020,1425
7655756,57169,5,13 August 2020,2,19 August 2020,29 August 2020,11664.8
7655757,57105,5,13 August 2020,6,21 August 2020,08 September 2020,25451
7655758,57111,4,14 August 2020,4,24 August 2020,05 September 2020,32517.63
7655759,57197,4,14 August 2020,3,18 August 2020,01 September 2020,24872.4
7655760,57203,3,15 August 2020,5,20 August 2020,28 August 2020,7681.95
7655761,57104,4,15 August 2020,8,17 August 2020,21 August 2020,20390.4
7655762,57119,4,16 August 2020,3,20 August 2020,23 August 2020,20713.5
7655763,57114,4,16 August 2020,3,22 August 2020,27 August 2020,55139.85
7655764,57159,4,16 August 2020,1,18 August 2020,23 August 2020,12681.9
7655765,57224,4,16 August 2020,2,21 August 2020,02 September 2020,9901.8
7655766,57219,3,16 August 2020,2,20 August 2020,22 August 2020,8434
7655767,57132,4,17 August 2020,4,21 August 2020,04 September 2020,2419.2
7655768,57217,4,17 August 2020,2,24 August 2020,09 September 2020,31871.25
7655769,57088,6,17 August 2020,3,21 August 2020,10 September 2020,10907
7655770,57202,3,18 August 2020,2,28 August 2020,15 September 2020,13048
7655771,57168,6,18 August 2020,1,28 August 2020,02 September 2020,2301
7655772,57162,4,19 August 2020,3,24 August 2020,06 September 2020,6967.62
7655773,57142,4,19 August 2020,4,26 August 2020,12 September 2020,23162.895
7655774,57134,3,19 August 2020,1,20 August 2020,02 September 2020,1145
7655775,57136,4,19 August 2020,7,21 August 2020,09 September 2020,28711.278
7655776,57169,3,19 August 2020,7,22 August 2020,09 September 2020,21867.93
7655777,57220,5,20 August 2020,6,25 August 2020,01 September 2020,8122
7655778,57222,5,20 August 2020,2,28 August 2020,30 August 2020,11427.25
7655779,57234,4,20 August 2020,3,28 August 2020,13 September 2020,19208.7
7655780,57113,6,21 August 2020,8,30 August 2020,31 August 2020,16708.68
7655781,57109,3,21 August 2020,2,31 August 2020,05 September 2020,7823.25
7655782,57182,4,21 August 2020,1,30 August 2020,16 September 2020,14141.16
7655783,57116,6,21 August 2020,1,29 August 2020,30 August 2020,4043.84
7655784,57146,5,22 August 2020,3,26 August 2020,01 September 2020,4907
7655785,57221,6,22 August 2020,4,30 August 2020,07 September 2020,24205.68
7655786,57209,3,23 August 2020,5,24 August 2020,08 September 2020,936
7655787,57186,3,23 August 2020,3,27 August 2020,09 September 2020,2661
7655788,57204,5,23 August 2020,4,24 August 2020,30 August 2020,21005.81
7655789,57100,4,24 August 2020,2,03 September 2020,14 September 2020,17179.47
7655790,57158,1,24 August 2020,8,30 August 2020,11 September 2020,38237.18
7655791,57086,4,24 August 2020,7,01 September 2020,10 September 2020,20418.3
7655792,57093,6,25 August 2020,8,04 September 2020,07 September 2020,32508
7655793,57176,4,26 August 2020,6,27 August 2020,01 September 2020,22524.3
7655794,57097,4,27 August 2020,3,29 August 2020,02 September 2020,5600.655
7655795,57118,4,27 August 2020,2,06 September 2020,24 September 2020,22984.497
7655796,57150,3,27 August 2020,3,30 August 2020,06 September 2020,38238.25
7655797,57136,4,28 August 2020,5,04 September 2020,16 September 2020,175.5
7655798,57198,6,28 August 2020,1,07 September 2020,11 September 2020,46850
7655799,57224,5,28 August 2020,1,30 August 2020,14 September 2020,18429.1
7655800,57216,4,29 August 2020,2,07 September 2020,09 September 2020,16807.5
7655801,57170,3,29 August 2020,5,04 September 2020,18 September 2020,2861.5
7655802,57172,4,29 August 2020,7,04 September 2020,12 September 2020,9481.5
7655803,57162,4,29 August 2020,6,02 September 2020,20 September 2020,45554.31
7655804,57221,2,30 August 2020,8,04 September 2020,13 September 2020,2559.29
7655805,57144,3,31 August 2020,6,07 September 2020,08 September 2020,10952.36
7655806,57180,4,01 September 2020,8,02 September 2020,12 September 2020,2458.575
7655807,57214,5,01 September 2020,2,04 September 2020,12 September 2020,31488
7655808,57134,4,01 September 2020,8,05 September 2020,11 September 2020,3551.157
7655809,57145,6,01 September 2020,6,03 September 2020,16 September 2020,12937.5
7655810,57206,4,03 September 2020,4,12 September 2020,17 September 2020,23747.535
7655811,57186,6,03 September 2020,4,08 September 2020,21 September 2020,111907.74
7655812,57219,4,03 September 2020,5,04 September 2020,14 September 2020,5469.3
7655813,57160,5,03 September 2020,8,07 September 2020,11 September 2020,11843
7655814,57124,6,04 September 2020,7,14 September 2020,23 September 2020,17516.18
7655815,57209,3,04 September 2020,5,14 September 2020,28 September 2020,21334.42
7655816,57108,5,05 September 2020,6,10 September 2020,16 September 2020,7847
7655817,57090,3,05 September 2020,1,09 September 2020,15 September 2020,13084.68
7655818,57198,3,06 September 2020,8,14 September 2020,16 September 2020,1149
7655819,57205,3,07 September 2020,4,12 September 2020,20 September 2020,11389
7655820,57243,4,07 September 2020,7,12 September 2020,30 September 2020,11707.2
7655821,57169,6,07 September 2020,2,13 September 2020,26 September 2020,8404
7655822,57215,5,07 September 2020,6,12 September 2020,02 October 2020,12962
7655823,57214,4,07 September 2020,2,09 September 2020,14 September 2020,6225.354
7655824,57099,4,07 September 2020,8,11 September 2020,28 September 2020,30228.66
7655825,57217,4,08 September 2020,3,14 September 2020,04 October 2020,29662.2
7655826,57238,4,08 September 2020,6,18 September 2020,06 October 2020,3105
7655827,57083,4,08 September 2020,5,17 September 2020,07 October 2020,13387.23
7655828,57238,4,09 September 2020,4,15 September 2020,30 September 2020,10700.775
7655829,57243,3,10 September 2020,6,12 September 2020,16 September 2020,3735
7655830,57176,3,11 September 2020,1,16 September 2020,02 October 2020,9664
7655831,57151,4,12 September 2020,4,15 September 2020,16 September 2020,7636.5
7655832,57128,4,12 September 2020,1,15 September 2020,22 September 2020,12914.37
7655833,57092,3,12 September 2020,1,17 September 2020,20 September 2020,11499
7655834,57179,3,12 September 2020,8,21 September 2020,26 September 2020,8961.4
7655835,57120,4,14 September 2020,6,15 September 2020,02 October 2020,11789.82
7655836,57088,3,14 September 2020,3,18 September 2020,26 September 2020,13484
7655837,57144,6,14 September 2020,4,16 September 2020,29 September 2020,10588.36
7655838,57220,4,14 September 2020,1,16 September 2020,04 October 2020,5341.104
7655839,57159,4,14 September 2020,1,20 September 2020,01 October 2020,39247.2
7655840,57211,2,14 September 2020,5,23 September 2020,28 September 2020,81448.8
7655841,57211,4,15 September 2020,6,22 September 2020,11 October 2020,409.5
7655842,57160,4,15 September 2020,5,16 September 2020,21 September 2020,14579.55
7655843,57216,4,16 September 2020,3,21 September 2020,27 September 2020,2379.258
7655844,57181,4,16 September 2020,4,25 September 2020,03 October 2020,25214.04
7655845,57250,5,16 September 2020,5,26 September 2020,04 October 2020,14540
7655846,57114,4,17 September 2020,1,27 September 2020,12 October 2020,38914.911
7655847,57238,4,17 September 2020,6,24 September 2020,29 September 2020,14256
7655848,57215,6,17 September 2020,5,24 September 2020,02 October 2020,1320
7655849,57117,4,17 September 2020,7,18 September 2020,23 September 2020,27737.82
7655850,57089,4,17 September 2020,6,18 September 2020,03 October 2020,8979.975
7655851,57212,3,17 September 2020,4,18 September 2020,07 October 2020,15444
7655852,57181,4,17 September 2020,1,19 September 2020,30 September 2020,15225.732
7655853,57092,4,18 September 2020,7,20 September 2020,04 October 2020,9724.563
7655854,57182,4,18 September 2020,3,22 September 2020,25 September 2020,25675.2
7655855,57126,3,18 September 2020,2,27 September 2020,14 October 2020,7971
7655856,57201,4,18 September 2020,5,22 September 2020,23 September 2020,35976.6
7655857,57135,5,18 September 2020,8,20 September 2020,08 October 2020,864
7655858,57206,4,18 September 2020,1,26 September 2020,29 September 2020,24075.585
7655859,57258,6,19 September 2020,5,24 September 2020,09 October 2020,5973.85
7655860,57089,4,19 September 2020,3,22 September 2020,05 October 2020,21756.33
7655861,57144,6,19 September 2020,3,29 September 2020,11 October 2020,30653.9
7655862,57195,3,21 September 2020,3,26 September 2020,04 October 2020,9963.4
7655863,57132,3,21 September 2020,8,26 September 2020,11 October 2020,17871
7655864,57230,6,21 September 2020,6,28 September 2020,04 October 2020,19726.95
7655865,57259,5,21 September 2020,8,29 September 2020,30 September 2020,39788.3
7655866,57085,4,22 September 2020,1,28 September 2020,30 September 2020,8221.5
7655867,57198,5,22 September 2020,7,30 September 2020,16 October 2020,37961.3
7655868,57162,4,22 September 2020,7,25 September 2020,02 October 2020,22145.319
7655869,57100,4,22 September 2020,8,26 September 2020,01 October 2020,18696.15
7655870,57237,6,22 September 2020,7,30 September 2020,20 October 2020,14453.06
7655871,57257,4,23 September 2020,4,25 September 2020,26 September 2020,55890
7655872,57203,4,23 September 2020,4,26 September 2020,07 October 2020,17422.2
7655873,57260,5,23 September 2020,7,25 September 2020,30 September 2020,3306
7655874,57229,4,24 September 2020,7,30 September 2020,10 October 2020,8772.93
7655875,57203,4,24 September 2020,2,26 September 2020,16 October 2020,12750.57
7655876,57081,3,24 September 2020,7,25 September 2020,01 October 2020,12996.1
7655877,57130,4,24 September 2020,2,28 September 2020,07 October 2020,24541.875
7655878,57213,4,25 September 2020,1,01 October 2020,05 October 2020,25634.268
7655879,57222,5,25 September 2020,5,26 September 2020,05 October 2020,1680.7
7655880,57232,4,26 September 2020,3,30 September 2020,04 October 2020,34577.325
7655881,57252,4,26 September 2020,6,06 October 2020,15 October 2020,35570.7
